Data Year,Race,Rate Per lakh
2010,All,362
2010,White,407
2010,Black,201
2010,Hispanic,205
2010,Asian,107
2011,All,359
2011,White,406
2011,Black,208
2011,Hispanic,192
2011,Asian,99
2012,All,338
2012,White,385
2012,Black,177
2012,Hispanic,140
2012,Asian,118
2013,All,337
2013,White,381
2013,Black,156
2013,Hispanic,179
2013,Asian,146
2014,All,353
2014,White,406
2014,Black,188
2014,Hispanic,151
2014,Asian,96
2015,All,345
2015,Asian,106
2015,Black,157
2015,Hispanic,145
2015,White,401
2016,White,393
2016,Asian,121
2016,Hispanic,140
2016,All,327
2016,Black,178
2017,All,311
2017,White,371
2017,Black,184
2017,Hispanic,165
2017,Asian,99
Target,Hispanic,130
Target,Black,141
Target,All,310
Target,Asian,95
Target,White,361
